1,1/1/10,17984201
2,1/2/10,59359314
3,1/3/10,11159788
4,1/4/10,81710505
5,1/5/10,16404956
6,1/6/10,92552376
7,1/7/10,82470125
8,1/8/10,7120398
9,1/9/10,21529117
10,1/10/10,90969347
11,1/11/10,8880448
12,1/12/10,27864155
13,1/13/10,64610554
14,1/14/10,499975
15,1/15/10,78125145
16,1/16/10,746108
17,1/17/10,67741305
18,1/18/10,4780924
19,1/19/10,1712896
20,1/20/10,22159592
21,1/21/10,11666700
22,1/22/10,26831796
23,1/23/10,37450360
24,1/24/10,90816182
25,1/25/10,94713779
26,1/26/10,64610554
27,1/27/10,26766246
28,1/28/10,2584455
29,1/29/10,47079810
30,1/30/10,77397967
31,1/31/10,28867985
32,2/1/10,79786277
33,2/2/10,52739559
34,2/3/10,61569878
35,2/4/10,10069593
36,2/5/10,95363426
37,2/6/10,88362910
38,2/7/10,58127138
39,2/8/10,13799912
40,2/9/10,76654856
41,2/10/10,43883805
42,2/11/10,45440104
43,2/12/10,83930644
44,2/13/10,2731827
45,2/14/10,18085356
46,2/15/10,53386032
47,2/15/10,64549532
48,2/16/10,69765753
49,2/17/10,3576588
50,2/18/10,48484186
51,2/19/10,31381479
52,2/20/10,41108004
53,2/21/10,18857880
54,2/22/10,93568391
55,2/23/10,26733270
56,2/24/10,81881710
57,2/25/10,68512430
58,2/26/10,7946990
59,2/27/10,19324963
60,2/28/10,93034139
61,3/1/10,22794153
62,3/2/10,81710505
63,3/3/10,6402026
64,3/4/10,96092207
65,3/5/10,93508859
66,3/6/10,39653755
67,3/7/10,20362733
68,3/8/10,43543557
69,3/9/10,69856153
70,3/10/10,18761667
71,3/11/10,97262294
72,3/12/10,45964062
73,3/12/10,64549532
74,3/13/10,22878417
75,3/14/10,38569233
76,3/15/10,55982742
77,3/16/10,52127903
78,3/17/10,24057171
79,3/18/10,27833162
80,3/19/10,8761173
81,3/20/10,66016081
82,3/21/10,40201793
83,3/22/10,50865319
84,3/23/10,84588517
85,3/24/10,5057444
86,3/25/10,48732121
87,3/26/10,22392442
88,3/27/10,56562074
89,3/28/10,8990525
90,3/29/10,48926081
91,3/30/10,8453397
92,3/31/10,14059738
93,4/1/10,85566280
94,4/2/10,69765753
95,4/3/10,6465482
96,4/4/10,95832851
97,4/5/10,73890948
98,4/6/10,29163103
99,4/7/10,82905253
100,4/8/10,22679114
101,4/9/10,9863852
102,4/10/10,88191888
103,4/11/10,42602894
104,4/12/10,46635783
105,4/13/10,755169
106,4/14/10,97951102
107,4/15/10,59913279
108,4/16/10,68883787
109,4/17/10,66650275
110,4/18/10,30337664
111,4/19/10,26784416
112,4/20/10,59265623
113,4/21/10,1744577
114,4/22/10,78171304
115,4/23/10,84588517
116,4/24/10,85567142
117,4/25/10,81701666
118,4/26/10,68676540
119,4/27/10,3975466
120,4/28/10,88992806
121,4/29/10,53996653
122,4/30/10,59359314
123,5/1/10,98234260
124,5/2/10,76654856
125,5/3/10,89690028
126,5/4/10,14886117
127,5/5/10,72756665
128,5/6/10,67411720
129,5/7/10,59490672
130,5/8/10,23989058
131,5/9/10,48732121
